# Annotation file compilation of the Affymetrix Human Genome U133 Set annotation data (chip HGU133A) http://bioconductor.org/packages/release/data/annotation/html/hgu133a.db.html
# and the web tool g:Convert http://biit.cs.ut.ee/gprofiler/gconvert.cgi
#
# List start ->
affy	genesym
204008_at	DNAL4
204009_s_at	KRAS
204010_s_at	KRAS
204011_at	SPRY2
204012_s_at	LCMT2
204013_s_at	LCMT2
204014_at	DUSP4
204015_s_at	DUSP4
204016_at	LARS2
204017_at	KDELR3
204018_x_at	HBA1
204019_s_at	SH3YL1
204020_at	PURA
204021_s_at	PURA
204022_at	WWP2
204023_at	RFC4
204024_at	OSGIN2
204025_s_at	PDCD2
204026_s_at	ZWINT
204027_s_at	METTL1
204028_s_at	RABGAP1
204029_at	CELSR2
204030_s_at	IQCJ-SCHIP1
204031_s_at	PCBP2
204032_at	BCAR3
204033_at	TRIP13
204034_at	ETHE1
204035_at	SCG2
204036_at	LPAR1
204037_at	LPAR1
204038_s_at	LPAR1
204039_at	CEBPA
204040_at	RNF144A
204041_at	MAOB
204042_at	WASF3
204043_at	TCN2
204044_at	QPRT
204045_at	TCEAL1
204046_at	PLCB2
204047_s_at	PHACTR2
204048_s_at	PHACTR2
204049_s_at	PHACTR2
204050_s_at	CLTA
204051_s_at	SFRP4
204052_s_at	SFRP4
204053_x_at	PTENP1
204054_at	PTENP1
204055_s_at	CTAGE5
204056_s_at	MVK
204057_at	IRF8
204058_at	ME1
204059_s_at	ME1
204060_s_at	PRKY
204061_at	PRKX
204062_s_at	ULK2
204063_s_at	ULK2
204064_at	THOC1
204065_at	CHST10
204066_s_at	AGAP1
204067_at	SUOX
204068_at	STK3
204069_at	MEIS1
204070_at	RARRES3
204071_s_at	TOPORS
204072_s_at	FRY
204073_s_at	MYRF
204074_s_at	CEP104
204075_s_at	CEP104
204076_at	ENTPD4
204077_x_at	ENTPD4
204078_at	LEPREL4
204079_at	TPST2
204080_at	TOE1
204081_at	NRGN
204082_at	PBX3
204083_s_at	TPM2
204084_s_at	CLN5
204085_s_at	CLN5
204086_at	PRAME
204087_s_at	SLC5A6
204088_at	P2RX4
204089_x_at	MAP3K4
204090_at	STK19
204091_at	PDE6D
204092_s_at	AURKA
204093_at	CCNH
204094_s_at	TSC22D2
204095_s_at	ELL
204096_s_at	ELL
204097_s_at	RBMX2
204098_at	RBMX2
204099_at	SMARCD3
204100_at	THRA
204101_at	MTM1
204102_s_at	EEF2
204103_at	CCL4
204104_at	SNAPC2
204105_s_at	NRCAM
204106_at	TESK1
204107_at	NFYA
204108_at	NFYA
204109_s_at	NFYA
204110_at	HNMT
204111_at	HNMT
204112_s_at	HNMT
204113_at	CELF1
204114_at	NID2
204115_at	GNG11
204116_at	IL2RG
204117_at	PREP
204118_at	CD48
204119_s_at	ADK
204120_s_at	ADK
204121_at	GADD45G
204122_at	TYROBP
204123_at	LIG3
204124_at	SLC34A2
204125_at	NDUFAF1
204126_s_at	CDC45
204127_at	RFC3
204128_s_at	RFC3
204129_at	BCL9
204130_at	HSD11B2
204131_s_at	FOXO3
204132_s_at	FOXO3
204133_at	RRP9
204134_at	PDE2A
204135_at	FILIP1L
204136_at	COL7A1
204137_at	GPR137B
204138_s_at	MZF1
204139_x_at	MZF1
204140_at	TPST1
204141_at	TUBB2A
204142_at	ENOSF1
204143_s_at	ENOSF1
204144_s_at	PIGQ
204145_at	FRG1B
204146_at	RAD51AP1
204147_s_at	TFDP1
204148_s_at	POMZP3
204149_s_at	GSTM4
204150_at	STAB1
204151_x_at	AKR1C1
204152_s_at	MFNG
204153_s_at	MFNG
204154_at	CDO1
204155_s_at	SIK3
204156_at	SIK3
204157_s_at	SIK3
204158_s_at	TCIRG1
204159_at	CDKN2C
204160_s_at	ENPP4
204161_s_at	ENPP4
204162_at	NDC80
204163_at	EMILIN1
204164_at	SIPA1
204165_at	WASF1
204166_at	SBNO2
204167_at	BTD
204168_at	MGST2
204169_at	IMPDH1
204170_s_at	CKS2
204171_at	RPS6KB1
204172_at	CPOX
204173_at	MYL6B
204174_at	ALOX5AP
204175_at	ZNF593
204176_at	KLHL20
204177_s_at	KLHL20
204178_s_at	RBM14
204179_at	MB
204180_s_at	ZBTB43
204181_s_at	ZBTB43
204182_s_at	ZBTB43
204183_s_at	ADRBK2
204184_s_at	ADRBK2
204185_x_at	PPID
204186_s_at	PPID
204187_at	GMPR
204188_s_at	RARG
204189_at	RARG
204190_at	USPL1
204191_at	IFNAR1
204192_at	CD37
204193_at	CHKB
204194_at	BACH1
204195_s_at	PKNOX1
204196_x_at	PKNOX1
204197_s_at	RUNX3
204198_s_at	RUNX3
204199_at	RALGPS1
204200_s_at	PDGFB
204201_s_at	PTPN13
204202_at	IQCE
204203_at	CEBPG
204204_at	SLC31A2
204205_at	APOBEC3G
204206_at	MNT
204207_s_at	RNGTT
204208_at	RNGTT
204209_at	PCYT1A
204210_s_at	PCYT1A
204211_x_at	EIF2AK2
204212_at	ACOT8
204213_at	PIGR
204214_s_at	RAB32
204215_at	TMEM243
204216_s_at	ZC3H14
204217_s_at	RTN2
204218_at	ANAPC15
204219_s_at	PSMC1
204220_at	GMFG
204221_x_at	GLIPR1
204222_s_at	GLIPR1
204223_at	PRELP
204224_s_at	GCH1
204225_at	HDAC4
204226_at	STAU2
204227_s_at	TK2
204228_at	PPIH
204229_at	SLC17A7
204230_s_at	SLC17A7
204231_s_at	FAAH
204232_at	FCER1G
204233_s_at	CHKA
204234_s_at	ZNF195
204235_s_at	GULP1
204236_at	FLI1
204237_at	GULP1
204238_s_at	DNPH1
204239_s_at	NNAT
204240_s_at	SMC2
204241_at	ACOX3
204242_s_at	ACOX3
204243_at	RLF
204244_s_at	DBF4
204245_s_at	RPP14
204246_s_at	DCTN3
204247_s_at	CDK5
204248_at	GNA11
204249_s_at	LMO2
204250_s_at	CEP164
204251_s_at	CEP164
204252_at	CDK2
204253_s_at	VDR
204254_s_at	VDR
204255_s_at	VDR
204256_at	ELOVL6
204257_at	FADS3
204258_at	CHD1
204259_at	MMP7
204260_at	CHGB
204261_s_at	PSEN2
204262_s_at	PSEN2
204263_s_at	CPT2
204264_at	CPT2
204265_s_at	GPSM3
204266_s_at	CHKA
204267_x_at	PKMYT1
204268_at	S100A2
204269_at	PIM2
204270_at	SKI
204271_s_at	EDNRB
204272_at	LGALS4
204273_at	EDNRB
204274_at	EBAG9
204275_at	CAPN15
204276_at	TK2
204277_s_at	TK2
204278_s_at	EBAG9
204279_at	PSMB9
204280_at	RGS14
204281_at	TEAD4
204282_s_at	FARS2
204283_at	FARS2
204284_at	PPP1R3C
204285_s_at	PMAIP1
204286_s_at	PMAIP1
204287_at	SYNGR1
204288_s_at	SORBS2
204289_at	ALDH6A1
204290_s_at	ALDH6A1
204291_at	ZNF518A
204292_x_at	STK11
204293_at	SGSH
204294_at	AMT
204295_at	SURF1
204296_at	204296_AT
204297_at	PIK3C3
204298_s_at	LOX
204299_at	SRSF10
204300_at	GATB
204301_at	KBTBD11
204302_s_at	CTIF
204303_s_at	CTIF
204304_s_at	PROM1
204305_at	MIPEP
204306_s_at	CD151
204307_at	RNU6-244P
204308_s_at	TECPR2
204309_at	CYP11A1
204310_s_at	NPR2
204311_at	ATP1B2
204312_x_at	CREB1
204313_s_at	CREB1
204314_s_at	CREB1
204315_s_at	GTSE1
204316_at	RGS10
204317_at	TRMU
204318_s_at	GTSE1
204319_s_at	RGS10
204320_at	COL11A1
204321_at	NEO1
204322_at	GOLIM4
204323_x_at	NF1
204324_s_at	GOLIM4
204325_s_at	NF1
204326_x_at	MT1X
204327_s_at	ZNF202
204328_at	TMC6
204329_s_at	ZNF202
204330_s_at	MRPS12
204331_s_at	MRPS12
204332_s_at	AGA
204333_s_at	AGA
204334_at	KLF7
204335_at	CCDC94
204336_s_at	RGS19
204337_at	RGS4
204338_s_at	RGS4
204339_s_at	RGS4
204340_at	TMEM187
204341_at	TRIM16L
204342_at	SLC25A24
204343_at	ABCA3
204344_s_at	SEC23A
204345_at	COL16A1
204346_s_at	RASSF1
204347_at	AK4
204348_s_at	AK4P1
204349_at	MED7
204350_s_at	MED7
204351_at	S100P
204352_at	TRAF5
204353_s_at	POT1
204354_at	POT1
204355_at	DHX30
204356_at	204356_AT
204357_s_at	LIMK1
204358_s_at	FLRT2
204359_at	FLRT2
204360_s_at	NAGLU
204361_s_at	SKAP2
204362_at	SKAP2
204363_at	F3
204364_s_at	REEP1
204365_s_at	REEP1
204366_s_at	MPV17
204367_at	SP2
204368_at	SLCO2A1
204369_at	PIK3CA
204370_at	CLP1
204371_s_at	KHSRP
204372_s_at	KHSRP
204373_s_at	CEP350
204374_s_at	GALK1
204375_at	CLSTN3
204376_at	VPRBP
204377_s_at	VPRBP
204378_at	BCAS1
204379_s_at	FGFR3
204380_s_at	FGFR3
204381_at	LRP3
204382_at	NAT9
204383_at	DGCR14
204384_at	GOLGA2
204385_at	KYNU
204386_s_at	MRPL57
204387_x_at	MRPL57
204388_s_at	MAOA
204389_at	MAOA
204390_at	TRIM24
204391_x_at	TRIM24
204392_at	CAMK1
204393_s_at	ACPP
204394_at	SLC43A1
204395_s_at	GRK5
204396_s_at	GRK5
204397_at	EML2
204398_s_at	EML2
204399_s_at	EML2
204400_at	EFS
204401_at	KCNN4
204402_at	RHBDD3
204403_x_at	FAM115A
204404_at	SLC12A2
204405_x_at	DIMT1
204406_at	FLT1
204407_at	TTF2
204408_at	APEX2
204409_s_at	EIF1AY
204410_at	EIF1AY
204411_at	KIF21B
204412_s_at	NEFH
204413_at	TRAF2
204414_at	LARGE
204415_at	IFI6
204416_x_at	APOC1
204417_at	GALC
204418_x_at	GSTM2
204419_x_at	HBG2
204420_at	FOSL1
204421_s_at	FGF2
204422_s_at	FGF2
204423_at	MKLN1
204424_s_at	LMO3
204425_at	ARHGAP4
204426_at	TMED2
204427_s_at	TMED2
204428_s_at	LCAT
204429_s_at	SLC2A5
204430_s_at	SLC2A5
204431_at	TLE2
204432_at	SOX12
204433_s_at	SPATA2
204434_at	SPATA2
204435_at	NUPL1
204436_at	PLEKHO2
204437_s_at	FOLR1
204438_at	MRC1
204439_at	IFI44L
204440_at	CD83
204441_s_at	POLA2
204442_x_at	LTBP4
204443_at	ARSA
204444_at	KIF11
204445_s_at	ALOX5
204446_s_at	ALOX5
204447_at	LZTS3
204448_s_at	PDCL
204449_at	PDCL
204450_x_at	APOA1
204451_at	FZD1
204452_s_at	FZD1
204453_at	ZNF84
204454_at	LDOC1
204455_at	DST
204456_s_at	GAS1
204457_s_at	GAS1
204458_at	PLA2G15
204459_at	CSTF2
204460_s_at	RAD1
204461_x_at	RAD1
204462_s_at	SLC16A2
204463_s_at	EDNRA
204464_s_at	EDNRA
204465_s_at	INA
204466_s_at	SNCA
204467_s_at	SNCA
204468_s_at	TIE1
204469_at	PTPRZ1
204470_at	CXCL1
204471_at	GAP43
204472_at	GEM
204473_s_at	ZNF592
204474_at	ZNF142
204475_at	MMP1
204476_s_at	PC
204477_at	RABIF
204478_s_at	RABIF
204479_at	OSTF1
204480_s_at	C9ORF16
204481_at	BRPF1
204482_at	CLDN5
204483_at	ENO3
204484_at	PIK3C2B
204485_s_at	TOM1L1
204486_at	204486_AT
204487_s_at	KCNQ1
204488_at	DOLK
204489_s_at	CD44
204490_s_at	CD44
204491_at	PDE4D
204492_at	ARHGAP11A
204493_at	BID
204494_s_at	C15ORF39
204495_s_at	C15ORF39
204496_at	STRN3
204497_at	ADCY9
204498_s_at	ADCY9
204499_at	AGTPBP1
204500_s_at	AGTPBP1
204501_at	NOV
204502_at	SAMHD1
204503_at	EVPL
204504_s_at	HIRIP3
204505_s_at	DMTN
204506_at	PPP3R1
204507_s_at	PPP3R1
204508_s_at	CA12
204509_at	CA12
204510_at	CDC7
204511_at	FARP2
204512_at	HIVEP1
204513_s_at	ELMO1
204514_at	DPH2
204515_at	HSD3B1
204516_at	ATXN7
204517_at	PPIC
204518_s_at	PPIC
204519_s_at	PLLP
204520_x_at	BRD1
204521_at	FAM216A
204522_at	DXO
204523_at	ZNF140
204524_at	PDPK1
204525_at	PHF14
204526_s_at	TBC1D8
204527_at	MYO5A
204528_s_at	NAP1L1
204529_s_at	TOX
204530_s_at	TOX
204531_s_at	BRCA1
204532_x_at	UGT1A6
204533_at	CXCL10
204534_at	VTN
204535_s_at	REST
204536_s_at	REST
204537_s_at	GABRE
204538_x_at	NPIPA5
204539_s_at	CELSR1
204540_at	EEF1A2
204541_at	SEC14L2
204542_at	ST6GALNAC2
204543_at	RAPGEF1
204544_at	HPS5
204545_at	PEX6
204546_at	KIAA0513
204547_at	RAB40B
204548_at	STAR
204549_at	IKBKE
204550_x_at	GSTM2
204551_s_at	AHSG
204552_at	INPP4A
204553_x_at	INPP4A
204554_at	PPP1R3D
204555_s_at	PPP1R3D
204556_s_at	DZIP1
204557_s_at	DZIP1
204558_at	RAD54L
204559_s_at	LSM7
204560_at	FKBP5
204561_x_at	APOC2
204562_at	IRF4
204563_at	SELL
204564_at	PCGF3
204565_at	ACOT13
204566_at	PPM1D
204567_s_at	ABCG1
204568_at	ATG14
204569_at	ICK
204570_at	COX7A1
204571_x_at	PIN4
204572_s_at	PIN4
204573_at	CROT
204574_s_at	MMP19
204575_s_at	MMP19
204576_s_at	CLUAP1
204577_s_at	CLUAP1
204578_at	PPIP5K1
204579_at	FGFR4
204580_at	MMP12
204581_at	CD22
204582_s_at	KLK3
204583_x_at	KLK3
204584_at	L1CAM
204585_s_at	L1CAM
204586_at	BSN
204587_at	SLC25A14
204588_s_at	SLC7A7
204589_at	NUAK1
204590_x_at	VPS33A
204591_at	CHL1
204592_at	DLG4
204593_s_at	MIEF1
204594_s_at	MIEF1
204595_s_at	STC1
204596_s_at	STC1
204597_x_at	STC1
204598_at	UBOX5
204599_s_at	MRPL28
204600_at	EPHB3
204601_at	N4BP1
204602_at	DKK1
204603_at	EXO1
204604_at	CDK14
204605_at	CGRRF1
204606_at	CCL21
204607_at	HMGCS2
204608_at	ASL
204609_at	CCDC85B
204610_s_at	CCDC85B
204611_s_at	PPP2R5B
204612_at	PKIA
204613_at	PLCG2
204614_at	SERPINB2
204615_x_at	IDI1
204616_at	UCHL3
204617_s_at	ACD
204618_s_at	GABPB1
204619_s_at	VCAN
204620_s_at	VCAN
204621_s_at	NR4A2
204622_x_at	NR4A2
204623_at	TFF3
204624_at	ATP7B
204625_s_at	ITGB3
204626_s_at	ITGB3
204627_s_at	ITGB3
204628_s_at	ITGB3
204629_at	PARVB
204630_s_at	GOSR1
204631_at	MYH2
204632_at	RPS6KA4
204633_s_at	RPS6KA5
204634_at	NEK4
204635_at	RPS6KA5
204636_at	COL17A1
204637_at	CGA
204638_at	ACP5
204639_at	ADA
204640_s_at	SPOP
204641_at	NEK2
204642_at	S1PR1
204643_s_at	ENOX2
204644_at	ENOX2
204645_at	CCNT2
204646_at	DPYD
204647_at	HOMER3
204648_at	NPR1
204649_at	TROAP
204650_s_at	SRA1
204651_at	NRF1
204652_s_at	NRF1
204653_at	TFAP2A
204654_s_at	TFAP2A
204655_at	CCL5
204656_at	SHB
204657_s_at	SHB
204658_at	TRA2A
204659_s_at	GFER
204660_at	GFER
204661_at	CD52
204662_at	CCP110
204663_at	ME3
204664_at	ALPP
204665_at	SIKE1
204666_s_at	SIKE1
204667_at	FOXA1
204668_at	RNF24
204669_s_at	RNF24
204670_x_at	HLA-DRB1
204671_s_at	ANKRD6
204672_s_at	ANKRD6
204673_at	MUC2
204674_at	LRMP
204675_at	SRD5A1
204676_at	TMEM186
204677_at	CDH5
204678_s_at	KCNK1
204679_at	KCNK1
204680_s_at	RAPGEF5
204681_s_at	RAPGEF5
204682_at	LTBP2
204683_at	ICAM2
204684_at	NPTX1
204685_s_at	ATP2B2
204686_at	IRS1
204687_at	PARM1
204688_at	SGCE
204689_at	HHEX
204690_at	STX8
204691_x_at	PLA2G6
204692_at	SAP25
204693_at	CDC42EP1
204694_at	AFP
204695_at	CDC25A
204696_s_at	CDC25A
204697_s_at	CHGA
204698_at	ISG20
204699_s_at	DIEXF
204700_x_at	DIEXF
204701_s_at	STOML1
204702_s_at	NFE2L3
204703_at	IFT88
204704_s_at	ALDOB
204705_x_at	ALDOB
204706_at	INPP5E
204707_s_at	MAPK4
204708_at	MAPK4
204709_s_at	KIF23
204710_s_at	WIPI2
204711_at	KIAA0753
204712_at	WIF1
204713_s_at	F5
204714_s_at	F5
204715_at	PANX1
204716_at	CCDC6
204717_s_at	SLC29A2
204718_at	EPHB6
204719_at	ABCA8
204720_s_at	DNAJC6
204721_s_at	DNAJC6
204722_at	SCN3B
204723_at	SCN3B
204724_s_at	COL9A3
204725_s_at	IL20RB
204726_at	CDH13
204727_at	WDHD1
204728_s_at	WDHD1
204729_s_at	STX1A
204730_at	RIMS3
204731_at	TGFBR3
204732_s_at	TRIM23
204733_at	KLK6
204734_at	KRT15
204735_at	PDE4A
204736_s_at	CSPG4
204737_s_at	MYH6
204738_s_at	KRIT1
204739_at	CENPC
204740_at	CNKSR1
204741_at	BICD1
204742_s_at	PDS5B
204743_at	TAGLN3
204744_s_at	IARS
204745_x_at	MT1G
204746_s_at	PICK1
204747_at	IFIT3
204748_at	PTGS2
204749_at	NAP1L3
204750_s_at	DSC2
204751_x_at	DSC2
204752_x_at	PARP2
204753_s_at	HLF
204754_at	HLF
204755_x_at	HLF
204756_at	MAP2K5
204757_s_at	C2CD2L
204758_s_at	C2CD2L
204759_at	RCBTB2
204760_s_at	NR1D1
204761_at	USP6NL
204762_s_at	GNAO1
204763_s_at	GNAO1
204764_at	CHURC1-FNTB
204765_at	ARHGEF5
204766_s_at	NUDT1
204767_s_at	FEN1
204768_s_at	FEN1
204769_s_at	TAP2
204770_at	TAP2
204771_s_at	TTF1
204772_s_at	TTF1
204773_at	IL11RA
204774_at	EVI2A
204775_at	CHAF1B
204776_at	THBS4
204777_s_at	MAL
204778_x_at	HOXB7
204779_s_at	HOXB7
204780_s_at	FAS
204781_s_at	FAS
204782_at	MLF1
204783_at	MLF1
204784_s_at	MLF1
204785_x_at	IFNAR2
204786_s_at	IFNAR2
204787_at	VSIG4
204788_s_at	PPOX
204789_at	FMNL1
204790_at	SMAD7
204791_at	NR2C1
204792_s_at	IFT140
204793_at	GPRASP1
204794_at	DUSP2
204795_at	PRR3
204796_at	EML1
204797_s_at	EML1
204798_at	MYB
204799_at	ZBED4
204800_s_at	DHRS12
204801_s_at	DHRS12
204802_at	RRAD
204803_s_at	RRAD
204804_at	TRIM21
204805_s_at	H1FX
204806_x_at	HLA-F
204807_at	TMEM5
204808_s_at	TMEM5
204809_at	CLPX
204810_s_at	CKM
204811_s_at	CACNA2D2
204812_at	ZW10
204813_at	MAPK10
204814_at	CADPS
204815_s_at	DHX34
204816_s_at	DHX34
204817_at	ESPL1
204818_at	HSD17B2
204819_at	FGD1
204820_s_at	BTN3A2
204821_at	BTN3A3
204822_at	TTK
204823_at	NAV3
204824_at	ENDOG
204825_at	MELK
204826_at	CCNF
204827_s_at	CCNF
204828_at	RAD9A
204829_s_at	FOLR2
204830_x_at	PSG5
204831_at	CDK8
204832_s_at	BMPR1APS2
204833_at	ATG12
204834_at	FGL2
204835_at	POLA1
204836_at	GLDC
204837_at	MTMR9
204838_s_at	MLH3
204839_at	POP5
204840_s_at	EEA1
204841_s_at	EEA1
204842_x_at	PRKAR2A
204843_s_at	PRKAR2A
204844_at	ENPEP
204845_s_at	ENPEP
204846_at	CP
204847_at	ZBTB11
204848_x_at	HBG2
204849_at	TCFL5
204850_s_at	DCX
204851_s_at	DCX
204852_s_at	PTPN7
204853_at	ORC2
204854_at	LEPREL2
204855_at	SERPINB5
204856_at	B3GNT3
204857_at	MAD1L1
204858_s_at	TYMP
204859_s_at	APAF1
204860_s_at	NAIP
204861_s_at	NAIP
204862_s_at	NME3
204863_s_at	IL6ST
204864_s_at	IL6ST
204865_at	CA3
204866_at	JADE3
204867_at	GCHFR
204868_at	ICT1
204869_at	PCSK2
204870_s_at	PCSK2
204871_at	MTERF1
204872_at	TLE4
204873_at	PEX1
204874_x_at	BAIAP3
204875_s_at	GMDS
204876_at	ZNF646
204877_s_at	TAOK2
204878_s_at	TAOK2
204879_at	PDPN
204880_at	MGMT
204881_s_at	UGCG
204882_at	ARHGAP25
204883_s_at	HUS1
204884_s_at	HUS1
204885_s_at	MSLN
204886_at	PLK4
204887_s_at	PLK4
204888_s_at	NEURL1
204889_s_at	NEURL1
204890_s_at	LCK
204891_s_at	LCK
204892_x_at	EEF1A1
204893_s_at	ZFYVE9
204894_s_at	AOC3
204895_x_at	MUC4
204896_s_at	PTGER4
204897_at	PTGER4
204898_at	SAP30
204899_s_at	SAP30
204900_x_at	SAP30
204901_at	BTRC
204902_s_at	ATG4B
204903_x_at	ATG4B
204904_at	GJA4
204905_s_at	EEF1E1
204906_at	RPS6KA2
204907_s_at	BCL3
204908_s_at	BCL3
204909_at	DDX6
204910_s_at	TRIM3
204911_s_at	TRIM3
204912_at	IL10RA
204913_s_at	SOX11
204914_s_at	SOX11
204915_s_at	SOX11
204916_at	RAMP1
204917_s_at	MLLT3
204918_s_at	MLLT3
204919_at	PRR4
204920_at	CPS1
204921_at	GAS8
204922_at	C11ORF80
204923_at	SASH3
204924_at	TLR2
204925_at	CTNS
204926_at	INHBA
204927_at	RASSF7
204928_s_at	SLC10A3
204929_s_at	VAMP5
204930_s_at	BNIP1
204931_at	TCF21
204932_at	TNFRSF11B
204933_s_at	TNFRSF11B
204934_s_at	HPN
204935_at	PTPN2
204936_at	MAP4K2
204937_s_at	ZNF274
204938_s_at	PLN
204939_s_at	PLN
204940_at	PLN
204941_s_at	ALDH3B2
204942_s_at	ALDH3B2
204943_at	ADAM12
204944_at	PTPRG
204945_at	PTPRN
204946_s_at	TOP3A
204947_at	E2F1
204948_s_at	FST
204949_at	ICAM3
204950_at	CARD8
204951_at	RHOH
204952_at	LYPD3
204953_at	SNAP91
204954_s_at	DYRK1B
204955_at	SRPX
204956_at	MTAP
204957_at	ORC5
204958_at	PLK3
204959_at	MNDA
204960_at	CORO1B
204961_s_at	NCF1
204962_s_at	CENPA
204963_at	SSPN
204964_s_at	SSPN
204965_at	GC
204966_at	BAI2
204967_at	SHROOM2
204968_at	C6ORF47
204969_s_at	RDX
204970_s_at	MAFG
204971_at	CSTA
204972_at	OAS2
204973_at	GJB1
204974_at	RAB3A
204975_at	EMP2
204976_s_at	AMMECR1
204977_at	DDX10
204978_at	CLASRP
204979_s_at	SH3BGR
204980_at	CLOCK
204981_at	SLC22A18
204982_at	GIT2
204983_s_at	GPC4
204984_at	GPC4
204985_s_at	TRAPPC6A
204986_s_at	TAOK2
204987_at	ITIH2
204988_at	FGB
204989_s_at	ITGB4
204990_s_at	ITGB4
204991_s_at	NF2
204992_s_at	PFN2
204993_at	GNAZ
204994_at	MX2
204995_at	CDK5R1
204996_s_at	CDK5R1
204997_at	GPD1
204998_s_at	ATF5
204999_s_at	ATF5
205000_at	DDX3Y
205001_s_at	DDX3Y
205002_at	AHDC1
205003_at	DOCK4
205004_at	NKRF
205005_s_at	NMT2
205006_s_at	NMT2
205007_s_at	CIB2
205008_s_at	CIB2
205009_at	TFF1
205010_at	GNL3L
205011_at	VWA5A
205012_s_at	HAGH
205013_s_at	ADORA2A
205014_at	FGFBP1
205015_s_at	TGFA
205016_at	TGFA
205017_s_at	MBNL2
205018_s_at	MBNL2
205019_s_at	VIPR1
205020_s_at	ARL4A
205021_s_at	FOXN3
205022_s_at	FOXN3
205023_at	RAD51
205024_s_at	RAD51
205025_at	ZBTB48
205026_at	STAT5B
205027_s_at	MAP3K8
205028_at	TRO
205029_s_at	FABP7
205030_at	FABP7
205031_at	EFNB3
205032_at	ITGA2
205033_s_at	DEFA1B
205034_at	CCNE2
205035_at	CTDP1
205036_at	LSM6
205037_at	IFT27
205038_at	IKZF1
205039_s_at	IKZF1
205040_at	ORM1
205041_s_at	ORM2
205042_at	GNE
205043_at	CFTR
205044_at	GABRP
205045_at	AKAP10
205046_at	CENPE
205047_s_at	ASNS
205048_s_at	PSPH
205049_s_at	CD79A
205050_s_at	MAPK8IP2
205051_s_at	KIT
205052_at	AUH
205053_at	PRIM1
205054_at	NEB
205055_at	ITGAE
205056_s_at	GPR162
205057_s_at	IDUA
205058_at	205058_AT
205059_s_at	IDUA
205060_at	PARG
205061_s_at	EXOSC9
205062_x_at	ARID4A
205063_at	GEMIN2
205064_at	SPRR1B
205065_at	ENPP1
205066_s_at	ENPP1
205067_at	IL1B
205068_s_at	ARHGAP26
205069_s_at	ARHGAP26
205070_at	ING3
205071_x_at	XRCC4
205072_s_at	XRCC4
205073_at	CYP2J2
205074_at	SLC22A5
205075_at	SERPINF2
205076_s_at	MTMR11
205077_s_at	PIGF
205078_at	PIGF
205079_s_at	MPDZ
205080_at	RARB
205081_at	CRIP1
205082_s_at	AOX1
205083_at	AOX1
205084_at	BCAP29
205085_at	ORC1
205086_s_at	NCAPH2
205087_at	RWDD3
205088_at	MAMLD1
205089_at	ZNF7
205090_s_at	NAGPA
205091_x_at	RECQL
205092_x_at	ZBTB1
205093_at	PLEKHA6
205094_at	PEX12
205095_s_at	ATP6V0A1
205096_at	POM121
205097_at	SLC26A2
205098_at	CCR1
205099_s_at	CCR1
205100_at	GFPT2
205101_at	CIITA
205102_at	TMPRSS2
205103_at	C1ORF61
205104_at	SNPH
205105_at	MAN2A1
205106_at	MTCP1
205107_s_at	EFNA4
205108_s_at	APOB
205109_s_at	ARHGEF4
205110_s_at	FGF13
205111_s_at	PLCE1
205112_at	PLCE1
205113_at	NEFM
205114_s_at	CCL3
205115_s_at	RBM19
205116_at	LAMA2
205117_at	FGF1
205118_at	FPR1
205119_s_at	FPR1
205120_s_at	SGCB
205121_at	SGCB
205122_at	TMEFF1
205123_s_at	TMEFF1
205124_at	MEF2B
205125_at	PLCD1
205126_at	VRK2
205127_at	PTGS1
205128_x_at	PTGS1
205129_at	NPM3
205130_at	MOK
205131_x_at	CLEC11A
205132_at	ACTC1
205133_s_at	HSPE1
205134_s_at	NUFIP1P
205135_s_at	NUFIP1P
205136_s_at	NUFIP1
205137_x_at	USH1C
205138_s_at	UST
205139_s_at	UST
205140_at	FPGT
205141_at	ANG
205142_x_at	ABCD1
205143_at	NCAN
205144_at	205144_AT
205145_s_at	MYL5
205146_x_at	APBA3
205147_x_at	NCF4
205148_s_at	CLCN4
205149_s_at	CLCN4
205150_s_at	TRIL
205151_s_at	TRIL
205152_at	SLC6A1
205153_s_at	CD40
205154_at	LRRN2
205155_s_at	SPTBN2
205156_s_at	ASIC1
205157_s_at	KRT17
205158_at	RNASE4
205159_at	CSF2RB
205160_at	PEX11A
205161_s_at	PEX11A
205162_at	ERCC8
205163_at	MYLPF
205164_at	GCAT
205165_at	CELSR3
205166_at	CAPN5
205167_s_at	CDC25C
205168_at	DDR2
205169_at	RBBP5
205170_at	STAT2
205171_at	PTPN4
205172_x_at	CLTB
205173_x_at	CD58
205174_s_at	QPCT
205175_s_at	KHK
205176_s_at	ITGB3BP
205177_at	TNNI1
205178_s_at	RBBP6
205179_s_at	ADAM8
205180_s_at	ADAM8
205181_at	ZSCAN9
205182_s_at	ZNF324
205183_at	HNRNPD
205184_at	GNG4
205185_at	SPINK5
205186_at	DNALI1
205187_at	SMAD5
205188_s_at	SMAD5
205189_s_at	FANCC
205190_at	PLS1
205191_at	RP2
205192_at	MAP3K14
205193_at	MAFF
205194_at	PSPH
205195_at	AP1S1
205196_s_at	AP1S1
205197_s_at	ATP7A
205198_s_at	ATP7A
205199_at	CA9
205200_at	EXOSC7
205201_at	GLI3
205202_at	PCMT1
205203_at	PLD1
205204_at	NMB
205205_at	RELB
205206_at	KAL1
205207_at	IL6
