Input	Match type	Approved symbol	Approved name	HGNC ID	Location
ADA2	Synonyms	TADA2A	transcriptional adaptor 2A	HGNC:11531	17q12-q21
GCN5	Synonyms	KAT2A	K(lysine) acetyltransferase 2A	HGNC:4201	17q12-q21
GCN5	Synonyms	KAT2B	K(lysine) acetyltransferase 2B	HGNC:8638	3p24
Staf-50	Unmatched				
NF-X1	Unmatched				
HOXA1	Approved symbol	HOXA1	homeobox A1	HGNC:5099	7p15.2
HOXA5	Approved symbol	HOXA5	homeobox A5	HGNC:5106	7p15.2
HOXA4	Approved symbol	HOXA4	homeobox A4	HGNC:5105	7p15.2
HOXA7	Approved symbol	HOXA7	homeobox A7	HGNC:5108	7p15.2
HOXA9B	Unmatched				
HOXA10	Approved symbol	HOXA10	homeobox A10	HGNC:5100	7p15.2
PL2	Unmatched				
HOXB1	Approved symbol	HOXB1	homeobox B1	HGNC:5111	17q21.32
HOXB3	Approved symbol	HOXB3	homeobox B3	HGNC:5114	17q21.32
HOXB4	Approved symbol	HOXB4	homeobox B4	HGNC:5115	17q21.32
HOXB5	Approved symbol	HOXB5	homeobox B5	HGNC:5116	17q21.32
HOXB6	Approved symbol	HOXB6	homeobox B6	HGNC:5117	17q21.32
HOXB7	Approved symbol	HOXB7	homeobox B7	HGNC:5118	17q21.32
HOXB9	Approved symbol	HOXB9	homeobox B9	HGNC:5120	17q21.32
HOXC5	Approved symbol	HOXC5	homeobox C5	HGNC:5127	12q13.13
HOXC6	Approved symbol	HOXC6	homeobox C6	HGNC:5128	12q13.13
MEF-2C/delta8	Unmatched				
MEF-2C	Unmatched				
MEF-2C/delta32	Unmatched				
MEF-2DAB	Unmatched				
INSAF	Entry withdrawn	INSAF~withdrawn		HGNC:6082	
AhR	Approved symbol	AHR	aryl hydrocarbon receptor	HGNC:348	7p15
AA	Previous symbol	TEAD1	TEA domain family member 1 (SV40 transcriptional enhancer factor)	HGNC:11714	11p15.4
Id1	Approved symbol	ID1	"inhibitor of DNA binding 1, dominant negative helix-loop-helix protein"	HGNC:5360	20q11
ATF2	Approved symbol	ATF2	activating transcription factor 2	HGNC:784	2q32
ATF2	Synonyms	GDNF	glial cell derived neurotrophic factor	HGNC:4232	5p13.1-p12
CREMalpha	Unmatched				
NF-YA	Synonyms	NFYA	"nuclear transcription factor Y, alpha"	HGNC:7804	6p21.3
p55	Synonyms	ERG	v-ets avian erythroblastosis virus E26 oncogene homolog	HGNC:3446	21q22.3
p55	Synonyms	FSCN1	fascin actin-bundling protein 1	HGNC:11148	7p22
p55	Synonyms	PSMD12	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 12"	HGNC:9557	17q24.3
p55	Synonyms	PIK3R3	"phosphoinositide-3-kinase, regulatory subunit 3 (gamma)"	HGNC:8981	1p34.1
Id3	Approved symbol	ID3	"inhibitor of DNA binding 3, dominant negative helix-loop-helix protein"	HGNC:5362	1p36.13-p36.12
Heir-1	Synonyms	ID3	"inhibitor of DNA binding 3, dominant negative helix-loop-helix protein"	HGNC:5362	1p36.13-p36.12
Pax-3A	Unmatched				
Pax-3B	Unmatched				
Pd-5a	Unmatched				
Pax-2	Unmatched				
Pax-8a	Unmatched				
Pax-8b	Unmatched				
Pax-8c	Unmatched				
Pax-8d	Unmatched				
WT1-del2	Unmatched				
I-del2	Unmatched				
TCF-1D	Unmatched				
HMG	Unmatched				
Sox9	Approved symbol	SOX9	SRY (sex determining region Y)-box 9	HGNC:11204	17q24.3
HMGI-C	Unmatched				
Sox5	Approved symbol	SOX5	SRY (sex determining region Y)-box 5	HGNC:11201	12p12.1
POU5F1B	Approved symbol	POU5F1B	POU class 5 homeobox 1B	HGNC:9223	8q24.21
POU4F1	Approved symbol	POU4F1	POU class 4 homeobox 1	HGNC:9218	13q31.1
POU4F2	Approved symbol	POU4F2	POU class 4 homeobox 2	HGNC:9219	4q31.22
POU3F4	Approved symbol	POU3F4	POU class 3 homeobox 4	HGNC:9217	Xq21.1
GR-beta	Unmatched				
p105	Synonyms	NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	HGNC:7794	4q24
p105	Synonyms	NFKB2	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)	HGNC:7795	10q24
p105	Synonyms	SCYL1	SCY1-like 1 (S. cerevisiae)	HGNC:14372	11q11-q12
NF-kappaB2	Unmatched				
precursor	Unmatched				
Bcl-3	Unmatched				
p49	Synonyms	SRFBP1	serum response factor binding protein 1	HGNC:26333	5q23.1
RelB	Approved symbol	RELB	v-rel avian reticuloendotheliosis viral oncogene homolog B	HGNC:9956	19q13.32
IkappaBR	Unmatched				
NF-AT2	Unmatched				
NF-AT4	Unmatched				
HNF-1alpha-B	Unmatched				
HNF-1alpha-C	Unmatched				
HNF-1beta-B	Unmatched				
HNF-1beta-C	Unmatched				
Isl-1alpha	Unmatched				
LHX1	Approved symbol	LHX1	LIM homeobox 1	HGNC:6593	17q12
LHX2	Approved symbol	LHX2	LIM homeobox 2	HGNC:6594	9q33.3
NRSF	Synonyms	REST	RE1-silencing transcription factor	HGNC:9966	4q12
form	Unmatched				
RREB-1	Unmatched				
JunB	Approved symbol	JUNB	jun B proto-oncogene	HGNC:6205	19p13.13
JunD	Approved symbol	JUND	jun D proto-oncogene	HGNC:6206	19p13.2
TCF-1E	Unmatched				
HMG-Y	Unmatched				
TCF-1F	Unmatched				
TCF-1G	Unmatched				
Fra-2	Unmatched				
Emx-1	Unmatched				
Emx-2	Unmatched				
En-1	Unmatched				
En-2	Unmatched				
EVX1	Approved symbol	EVX1	even-skipped homeobox 1	HGNC:3506	7p15.2
IRF-8	Synonyms	IRF8	interferon regulatory factor 8	HGNC:5358	16q24.1
HLX	Approved symbol	HLX	H2.0-like homeobox	HGNC:4978	1q41
HOX11	Previous symbol	TLX1	T-cell leukemia homeobox 1	HGNC:5056	10q24.32
MHox	Unmatched				
K-2	Unmatched				
Fli-1	Unmatched				
PU.1	Synonyms	SPI1	Spi-1 proto-oncogene	HGNC:11241	11p12-p11.22
Msx-1	Unmatched				
Msx-2	Unmatched				
Otx1	Approved symbol	OTX1	orthodenticle homeobox 1	HGNC:8521	2p15
Otx2	Approved symbol	OTX2	orthodenticle homeobox 2	HGNC:8522	14q22.3
Pbx1b	Unmatched				
Hex	Synonyms	HHEX	hematopoietically expressed homeobox	HGNC:4901	10q23.33
short	Unmatched				
PC5	Synonyms	PCSK5	proprotein convertase subtilisin/kexin type 5	HGNC:8747	9q21.13
SAP-1b	Unmatched				
p55erg	Unmatched				
p49erg	Unmatched				
PC4	Synonyms	PCSK4	proprotein convertase subtilisin/kexin type 4	HGNC:8746	19p13.3
PC4	Synonyms	IFRD1	interferon-related developmental regulator 1	HGNC:5456	7q31.1
PC4	Synonyms	SUB1	SUB1 homolog (S. cerevisiae)	HGNC:19985	5p13.3
PC2	Synonyms	PKD2	polycystic kidney disease 2 (autosomal dominant)	HGNC:9009	4q22.1
PC2	Synonyms	PCSK2	proprotein convertase subtilisin/kexin type 2	HGNC:8744	20p11.2
PC2	Synonyms	CBX4	chromobox homolog 4	HGNC:1554	17q25.3
OCA-B	Unmatched				
TFIIE-alpha	Unmatched				
TFIIE-beta	Unmatched				
TFIIF-alpha	Unmatched				
TFIIF-beta	Unmatched				
SIII-p110	Unmatched				
TFIIH-p90	Unmatched				
TFIIH-p80	Unmatched				
TFIIH-p62	Unmatched				
TFIIH-cyclin	Unmatched				
H	Previous symbol	FUT1	"fucosyltransferase 1 (galactoside 2-alpha-L-fucosyltransferase, H blood group)"	HGNC:4012	19q13.33
TFIIH-p44	Unmatched				
TFIIH-MO15	Unmatched				
TFIIH-MAT1	Unmatched				
TFIIH-p34	Unmatched				
CCG1	Previous symbol	TAF1	"TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa"	HGNC:11535	Xq13.1
BTEB2	Previous symbol	KLF5	Kruppel-like factor 5 (intestinal)	HGNC:6349	13q21.3
BTEB1	Previous symbol	KLF9	Kruppel-like factor 9	HGNC:1123	9q21.11
CBP	Previous symbol	OPN1LW	"opsin 1 (cone pigments), long-wave-sensitive"	HGNC:9936	Xq28
CBP	Synonyms	CREBBP	CREB binding protein	HGNC:2348	16p13.3
CBP	Synonyms	PAG1	phosphoprotein membrane anchor with glycosphingolipid microdomains 1	HGNC:30043	8q21.13
TFIIA-alpha/beta	Unmatched				
major	Unmatched				
minor	Synonyms	NR4A3	"nuclear receptor subfamily 4, group A, member 3"	HGNC:7982	9q22
AML1DeltaN	Unmatched				
AML2	Synonyms	RUNX3	runt-related transcription factor 3	HGNC:10473	1p36
TFIIA-gamma	Unmatched				
AML1b	Unmatched				
AML1c	Unmatched				
Lmo1	Approved symbol	LMO1	LIM domain only 1 (rhombotin 1)	HGNC:6641	11p15
Lmo2	Approved symbol	LMO2	LIM domain only 2 (rhombotin-like 1)	HGNC:6642	11p13
AML1a	Unmatched				
TFIIH*	Unmatched				
TFIIH-p80:CAK	Unmatched				
PEBP2beta	Unmatched				
TFIIH-CAK	Unmatched				
CAR	Synonyms	CXADR	coxsackie virus and adenovirus receptor	HGNC:2559	21q21.1
CAR	Synonyms	NR1I3	"nuclear receptor subfamily 1, group I, member 3"	HGNC:7969	1q23.3
CAR	Synonyms	SPG7	spastic paraplegia 7 (pure and complicated autosomal recessive)	HGNC:11237	16q24.3
CAR	Synonyms	CXADRP1	coxsackie virus and adenovirus receptor pseudogene 1	HGNC:23770	21q11.2
TFIIH	Synonyms	ERCC2	excision repair cross-complementation group 2	HGNC:3434	19q13.3
TFIIH	Synonyms	ERCC3	excision repair cross-complementation group 3	HGNC:3435	2q21
TFIIH	Synonyms	GTF2H1	"general transcription factor IIH, polypeptide 1, 62kDa"	HGNC:4655	11p15.1-p14
TFIIH	Synonyms	GTF2H2	"general transcription factor IIH, polypeptide 2, 44kDa"	HGNC:4656	5q13.2
TFIIH	Synonyms	GTF2H3	"general transcription factor IIH, polypeptide 3, 34kDa"	HGNC:4657	12q24.31
TFIIH	Synonyms	GTF2H4	"general transcription factor IIH, polypeptide 4, 52kDa"	HGNC:4658	6p21.3
TFIIH	Synonyms	GTF2H5	"general transcription factor IIH, polypeptide 5"	HGNC:21157	6q25.3
elongin	Unmatched				
C	Unmatched				
HEB1-p94	Unmatched				
HEB1-p67	Unmatched				
ATPF1	Unmatched				
Id1H'	Unmatched				
ZNF174	Approved symbol	ZNF174	zinc finger protein 174	HGNC:12963	16p13
AML3	Synonyms	RUNX2	runt-related transcription factor 2	HGNC:10472	6p21
Kox1	Synonyms	ZNF10	zinc finger protein 10	HGNC:12879	12q24.33
CTCF	Approved symbol	CTCF	CCCTC-binding factor (zinc finger protein)	HGNC:13723	16q21-q22.3
MTB-Zf	Synonyms	PRDM2	"PR domain containing 2, with ZNF domain"	HGNC:9347	1p36
FOXG1a	Previous symbol	FOXG1	forkhead box G1	HGNC:3811	14q11-q13
CTF-5	Unmatched				
CTF-7	Unmatched				
MAZi	Unmatched				
GCMa	Previous symbol	GCM1	glial cells missing homolog 1 (Drosophila)	HGNC:4197	6p21-p12
SRE-ZBP	Synonyms	ZSCAN26	zinc finger and SCAN domain containing 26	HGNC:12978	6p21.31
BCL-6	Unmatched				
OZF	Synonyms	ZNF146	zinc finger protein 146	HGNC:12931	19q13.1
PLZF	Synonyms	ZBTB16	zinc finger and BTB domain containing 16	HGNC:12930	11q23
ALL-1	Synonyms	KMT2A	lysine (K)-specific methyltransferase 2A	HGNC:7132	11q23
Sp3	Approved symbol	SP3	Sp3 transcription factor	HGNC:11208	2q31
Sp4	Approved symbol	SP4	Sp4 transcription factor	HGNC:11209	7p15
HMBP	Unmatched				
YAF2	Approved symbol	YAF2	YY1 associated factor 2	HGNC:17363	12q12
FOXG1b	Previous symbol	FOXG1	forkhead box G1	HGNC:3811	14q11-q13
MTF-1	Unmatched				
Sp2	Approved symbol	SP2	Sp2 transcription factor	HGNC:11207	17q21.3-q22
ICER-II	Unmatched				
ICER-IIgamma	Unmatched				
DB1	Synonyms	VEZF1	vascular endothelial zinc finger 1	HGNC:12949	17q22
ZFX	Approved symbol	ZFX	"zinc finger protein, X-linked"	HGNC:12869	Xp22.1-p21.3
USF2b	Unmatched				
N-Myc	Synonyms	MYCN	v-myc avian myelocytomatosis viral oncogene neuroblastoma derived homolog	HGNC:7559	2p24.3
Dlx-2	Unmatched				
PITX2	Approved symbol	PITX2	paired-like homeodomain 2	HGNC:9005	4q25
HNF-3gamma	Unmatched				
HNF-4alpha1	Unmatched				
HNF-4alpha4	Unmatched				
HNF-4alpha3	Unmatched				
HNF-4gamma	Unmatched				
IRX2a	Unmatched				
Irx-3	Synonyms	IRX6	iroquois homeobox 6	HGNC:14675	16q12.2
FKHL18	Previous symbol	FOXS1	forkhead box S1	HGNC:3735	20q11.1-q11.2
PITX1	Approved symbol	PITX1	paired-like homeodomain 1	HGNC:9004	5q31.1
PEBP2alpha	Unmatched				
NF-AT3	Unmatched				
FOXF1	Approved symbol	FOXF1	forkhead box F1	HGNC:3809	16q24
FOXF2	Approved symbol	FOXF2	forkhead box F2	HGNC:3810	6p25.3
AP-2alphaB	Unmatched				
AP-2beta	Unmatched				
AP-2gamma	Unmatched				
FOXC1	Approved symbol	FOXC1	forkhead box C1	HGNC:3800	6p25
FOXD1	Approved symbol	FOXD1	forkhead box D1	HGNC:3802	5q13.2
FOXD4	Approved symbol	FOXD4	forkhead box D4	HGNC:3805	9p24.3
FOXI1	Approved symbol	FOXI1	forkhead box I1	HGNC:3815	5q34
FOXL1	Approved symbol	FOXL1	forkhead box L1	HGNC:3817	16q24
FOXE3	Approved symbol	FOXE3	forkhead box E3	HGNC:3808	1p32
CP1C	Unmatched				
TIF2	Synonyms	NCOA2	nuclear receptor coactivator 2	HGNC:7669	8q13.3
FOXD2	Approved symbol	FOXD2	forkhead box D2	HGNC:3803	1p34-p32
DbpAv	Unmatched				
MEF-2DA'B	Unmatched				
MEF-2D0B	Unmatched				
MEF-2DA0	Unmatched				
MEF-2DA'0	Unmatched				
MEF-2D00	Unmatched				
HNF-3alpha	Unmatched				
HNF-3beta	Unmatched				
FOXM1b	Unmatched				
FOXM1a	Unmatched				
FOXC2	Approved symbol	FOXC2	"forkhead box C2 (MFH-1, mesenchyme forkhead 1)"	HGNC:3801	16q24.1
FOXJ1a	Unmatched				
TLE1	Approved symbol	TLE1	"transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila)"	HGNC:11837	9q21.32
FOXN1	Approved symbol	FOXN1	forkhead box N1	HGNC:12765	17q11-q12
CUP	Unmatched				
TxREF	Unmatched				
Nkx3-2	Approved symbol	NKX3-2	NK3 homeobox 2	HGNC:951	4p16.3
GATA-4	Unmatched				
GATA-5	Unmatched				
GATA-6	Unmatched				
Ik-1	Unmatched				
EPAS1	Approved symbol	EPAS1	endothelial PAS domain protein 1	HGNC:3374	2p21-p16
MOP3	Synonyms	ARNTL	aryl hydrocarbon receptor nuclear translocator-like	HGNC:701	11p15
MOP3	Synonyms	SBNO1	strawberry notch homolog 1 (Drosophila)	HGNC:22973	12q24.31
cdk9	Approved symbol	CDK9	cyclin-dependent kinase 9	HGNC:1780	9q34.1
PPAR-alpha	Unmatched				
T1	Synonyms	SLC25A4	"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4"	HGNC:10990	4q35
T1	Synonyms	CD5	CD5 molecule	HGNC:1685	11q13
T1	Synonyms	IL1RL1	interleukin 1 receptor-like 1	HGNC:5998	2q12
T1	Synonyms	TRAPPC9	trafficking protein particle complex 9	HGNC:30832	8q24.3
T2a	Unmatched				
T2b	Unmatched				
T2	Synonyms	SLC25A5	"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5"	HGNC:10991	Xq24
P-TEFb	Unmatched				
DSIF	Unmatched				
DSIF-p160	Unmatched				
DSIF-p14	Unmatched				
PPAR-gamma1	Unmatched				
NELF	Previous symbol	NSMF	NMDA receptor synaptonuclear signaling and neuronal migration factor	HGNC:29843	9q34.3
SHP	Synonyms	NR0B2	"nuclear receptor subfamily 0, group B, member 2"	HGNC:7961	1p36.1
TR4	Previous symbol	NR2C2	"nuclear receptor subfamily 2, group C, member 2"	HGNC:7972	3p25
NURR1	Previous symbol	NR4A2	"nuclear receptor subfamily 4, group A, member 2"	HGNC:7981	2q22-q23
PPAR-beta	Unmatched				
REVERB-alpha	Unmatched				
REVERB-beta	Unmatched				
RORbeta	Unmatched				
RORgamma	Unmatched				
LXR-alpha	Unmatched				
HNF-4	Unmatched				
EAR2	Unmatched				
ERR1	Synonyms	ESRRA	estrogen-related receptor alpha	HGNC:3471	11q12
ERR2	Synonyms	ESRRB	estrogen-related receptor beta	HGNC:3473	14q24.3
Nur77	Synonyms	NR4A1	"nuclear receptor subfamily 4, group A, member 1"	HGNC:7980	12q13
SF-1	Synonyms	NR5A1	"nuclear receptor subfamily 5, group A, member 1"	HGNC:7983	9q33
FTF	Previous symbol	NR5A2	"nuclear receptor subfamily 5, group A, member 2"	HGNC:7984	1q32.11
DAX1	Synonyms	NR0B1	"nuclear receptor subfamily 0, group B, member 1"	HGNC:7960	Xp21.3
Prop-1	Unmatched				
FOXE1	Approved symbol	FOXE1	forkhead box E1 (thyroid transcription factor 2)	HGNC:3806	9q22
Hesx1	Approved symbol	HESX1	HESX homeobox 1	HGNC:4877	3p14.3
Crx	Approved symbol	CRX	cone-rod homeobox	HGNC:2383	19q13.3
UEF-2	Unmatched				
UEF-3	Unmatched				
UEF-1	Unmatched				
UEF-4	Unmatched				
NF-jun	Unmatched				
FBP	Synonyms	RAB14	"RAB14, member RAS oncogene family"	HGNC:16524	9q32-q34.11
FBP	Previous symbol	FBP1	"fructose-1,6-bisphosphatase 1"	HGNC:3606	9q22.3
FBP	Synonyms	FUBP1	far upstream element (FUSE) binding protein 1	HGNC:4004	1p31.1
hnRNP	Unmatched				
K	Unmatched				
CNBP	Approved symbol	CNBP	"CCHC-type zinc finger, nucleic acid binding protein"	HGNC:13164	3q21
beta-catenin	Synonyms	CTNNB1	"catenin (cadherin-associated protein), beta 1, 88kDa"	HGNC:2514	3p21
TCF-3	Unmatched				
TCF-4E	Unmatched				
Sox11	Approved symbol	SOX11	SRY (sex determining region Y)-box 11	HGNC:11191	2p25
Sox12	Approved symbol	SOX12	SRY (sex determining region Y)-box 12	HGNC:11198	20p13
Pax-8	Unmatched				
UBF	Synonyms	UBTF	"upstream binding transcription factor, RNA polymerase I"	HGNC:12511	17q21.31
LEF-1	Unmatched				
TCF-4B	Unmatched				
TCF-4	Synonyms	TCF7L2	"transcription factor 7-like 2 (T-cell specific, HMG-box)"	HGNC:11641	10q25.3
Pax-8e	Unmatched				
Pax-8f	Unmatched				
FOXO1a	Previous symbol	FOXO1	forkhead box O1	HGNC:3819	13q14.1
FOXO1b	Approved symbol	FOXO1B	forkhead box O1B pseudogene	HGNC:3820	5q35.3
FOXO3a	Previous symbol	FOXO3	forkhead box O3	HGNC:3821	6q21
FOXO3b	Approved symbol	FOXO3B	forkhead box O3B pseudogene	HGNC:3822	17p11.2
FKHRL1P2	Unmatched				
Daxx	Approved symbol	DAXX	death-domain associated protein	HGNC:2681	6p21.3
Pax-4a	Unmatched				
Pax-9	Unmatched				
E2F-6	Synonyms	E2F6	E2F transcription factor 6	HGNC:3120	2p25.1
DP-2	Synonyms	TFDP2	transcription factor Dp-2 (E2F dimerization partner 2)	HGNC:11751	3q23
Pontin52	Synonyms	RUVBL1	RuvB-like AAA ATPase 1	HGNC:10474	3q21
APC	Approved symbol	APC	adenomatous polyposis coli	HGNC:583	5q21-q22
E2F+p107	Unmatched				
HOXC11	Approved symbol	HOXC11	homeobox C11	HGNC:5123	12q13.13
DDB-1	Unmatched				
DDB-2	Unmatched				
DDB	Unmatched				
CDX2	Approved symbol	CDX2	caudal type homeobox 2	HGNC:1806	13q12.2
Cdx-4	Unmatched				
Cdx-1	Unmatched				
AMY-1L	Unmatched				
OC-2	Synonyms	ONECUT2	one cut homeobox 2	HGNC:8139	18q21.31
Six-2	Unmatched				
Rox	Synonyms	MNT	MAX network transcriptional repressor	HGNC:7188	17p13.3
Vax-2	Unmatched				
Six-6	Unmatched				
Six-3	Unmatched				
Six-5	Unmatched				
HNF-6alpha	Unmatched				
Six-1	Unmatched				
HOXA2	Approved symbol	HOXA2	homeobox A2	HGNC:5103	7p15.2
HOXA3	Approved symbol	HOXA3	homeobox A3	HGNC:5104	7p15.2
HOXA6	Approved symbol	HOXA6	homeobox A6	HGNC:5107	7p15.2
HOXA11	Approved symbol	HOXA11	homeobox A11	HGNC:5101	7p15.2
HOXA13	Approved symbol	HOXA13	homeobox A13	HGNC:5102	7p15.2
HOXB2	Approved symbol	HOXB2	homeobox B2	HGNC:5113	17q21.32
HOXB8	Approved symbol	HOXB8	homeobox B8	HGNC:5119	17q21.32
HOXC4	Approved symbol	HOXC4	homeobox C4	HGNC:5126	12q13.13
HOXC8	Approved symbol	HOXC8	homeobox C8	HGNC:5129	12q13.13
HOXC9	Approved symbol	HOXC9	homeobox C9	HGNC:5130	12q13.13
HOXC10	Approved symbol	HOXC10	homeobox C10	HGNC:5122	12q13.13
HOXC12	Approved symbol	HOXC12	homeobox C12	HGNC:5124	12q13.13
HOXC13	Approved symbol	HOXC13	homeobox C13	HGNC:5125	12q13.13
HOXD3	Approved symbol	HOXD3	homeobox D3	HGNC:5137	2q31.1
HOXD8	Approved symbol	HOXD8	homeobox D8	HGNC:5139	2q31.1
HOXD11	Approved symbol	HOXD11	homeobox D11	HGNC:5134	2q31.1
HOXD12	Approved symbol	HOXD12	homeobox D12	HGNC:5135	2q31.1
HOXD13	Approved symbol	HOXD13	homeobox D13	HGNC:5136	2q31.1
C-Myc	Synonyms	MYC	v-myc avian myelocytomatosis viral oncogene homolog	HGNC:7553	8q24
Six-4	Unmatched				
FOXO4	Approved symbol	FOXO4	forkhead box O4	HGNC:7139	Xq13.1
Meis-3	Unmatched				
Miz-1	Unmatched				
Meis-1	Unmatched				
HB9	Synonyms	MNX1	motor neuron and pancreas homeobox 1	HGNC:4979	7q36
irlB	Synonyms	DENND4A	DENN/MADD domain containing 4A	HGNC:24321	15q22.31
LHX3a	Unmatched				
LHX3b	Unmatched				
MM-1	Synonyms	PFDN5	prefoldin subunit 5	HGNC:8869	12q13.13
Nmi	Approved symbol	NMI	N-myc (and STAT) interactor	HGNC:7854	2q23
Bin1	Approved symbol	BIN1	bridging integrator 1	HGNC:1052	2q14
L-Myc-2	Unmatched				
LEF-1B	Unmatched				
PNR	Synonyms	NR2E3	"nuclear receptor subfamily 2, group E, member 3"	HGNC:7974	15q23
PNR	Synonyms	TAAR5	trace amine associated receptor 5	HGNC:30236	6q23.2
SIM1	Approved symbol	SIM1	single-minded family bHLH transcription factor 1	HGNC:10882	6q16.3
PPAR-gamma2	Unmatched				
HOXB13	Approved symbol	HOXB13	homeobox B13	HGNC:5112	17q21.32
HNF-4alpha	Unmatched				
Smad1	Approved symbol	SMAD1	SMAD family member 1	HGNC:6767	4q31.21
Smad1	Synonyms	GARS	glycyl-tRNA synthetase	HGNC:4162	7p15
Barx1	Approved symbol	BARX1	BARX homeobox 1	HGNC:955	9q22.32
Barhl1	Approved symbol	BARHL1	BarH-like homeobox 1	HGNC:953	9q34.13
Barhl2	Approved symbol	BARHL2	BarH-like homeobox 2	HGNC:954	1p22.2
Barx2	Approved symbol	BARX2	BARX homeobox 2	HGNC:956	11q24.3
Pmx2a	Synonyms	PHOX2A	paired-like homeobox 2a	HGNC:691	11q13.4
Pmx2b	Previous symbol	PHOX2B	paired-like homeobox 2b	HGNC:9143	4p13
Cart-1	Unmatched				
AML3a	Unmatched				
AML3b	Unmatched				
Dlx-1	Unmatched				
Dlx-5	Unmatched				
Dlx-6	Unmatched				
Dlx-3	Unmatched				
Dlx-4	Unmatched				
Meox2	Approved symbol	MEOX2	mesenchyme homeobox 2	HGNC:7014	7p22.1-p21.3
Alx-4	Unmatched				
DUX1	Approved symbol	DUX1	double homeobox 1	HGNC:3079	reserved
Gbx2	Approved symbol	GBX2	gastrulation brain homeobox 2	HGNC:4186	2q37.2
Gbx1	Approved symbol	GBX1	gastrulation brain homeobox 1	HGNC:4185	7q36.1
Gsc	Approved symbol	GSC	goosecoid homeobox	HGNC:4612	14q32.13
Gscl	Previous symbol	GSC2	goosecoid homeobox 2	HGNC:4613	22q11.21
Meox1	Approved symbol	MEOX1	mesenchyme homeobox 1	HGNC:7013	17q21.31
Meox1a	Unmatched				
BRCA1	Approved symbol	BRCA1	"breast cancer 1, early onset"	HGNC:1100	17q21.31
TGIF	Synonyms	IL10	interleukin 10	HGNC:5962	1q31-q32
TGIF	Previous symbol	TGIF1	TGFB-induced factor homeobox 1	HGNC:11776	18p11.31
Smad2	Approved symbol	SMAD2	SMAD family member 2	HGNC:6768	18q21
Smad3	Approved symbol	SMAD3	SMAD family member 3	HGNC:6769	15q21-q22
HDAC1	Approved symbol	HDAC1	histone deacetylase 1	HGNC:4852	1p34
HDAC2	Approved symbol	HDAC2	histone deacetylase 2	HGNC:4853	6q21
HDAC3	Approved symbol	HDAC3	histone deacetylase 3	HGNC:4854	5q31.1-q31.2
Meis-2e	Unmatched				
Meis-2a	Unmatched				
Meis-2b	Unmatched				
Meis-2c	Unmatched				
Meis-2d	Unmatched				
FOXH1	Approved symbol	FOXH1	forkhead box H1	HGNC:3814	8q24.3
PKNOX1	Approved symbol	PKNOX1	PBX/knotted 1 homeobox 1	HGNC:9022	21q22.3
Pbx2	Approved symbol	PBX2	pre-B-cell leukemia homeobox 2	HGNC:8633	6p21.32
Pbx2	Previous symbol	PBX2P1	pre-B-cell leukemia homeobox 2 pseudogene 1	HGNC:8635	3q24
Pbx3a	Unmatched				
Pbx3b	Unmatched				
TGIF2	Approved symbol	TGIF2	TGFB-induced factor homeobox 2	HGNC:15764	20q11.23
DUX3	Approved symbol	DUX3	double homeobox 3	HGNC:3081	reserved
DUX2	Previous symbol	DUX4L8	double homeobox 4 like 8	HGNC:38670	4q35.2
DUX4	Approved symbol	DUX4	double homeobox 4	HGNC:50800	4q35.2
DUX4	Previous symbol	DUX4L1	double homeobox 4 like 1	HGNC:3082	4q35.2
Chx10	Previous symbol	VSX2	visual system homeobox 2	HGNC:1975	14q24.3
WSTF	Synonyms	BAZ1B	"bromodomain adjacent to zinc finger domain, 1B"	HGNC:961	7q11.23
HLTF	Approved symbol	HLTF	helicase-like transcription factor	HGNC:11099	3q25.1-q26.1
Met123	Unmatched				
SRCAP	Approved symbol	SRCAP	Snf2-related CREBBP activator protein	HGNC:16974	16p11.2
FOXB1	Approved symbol	FOXB1	forkhead box B1	HGNC:3799	15q22
FOXD3	Approved symbol	FOXD3	forkhead box D3	HGNC:3804	1p31.3
FOXJ2	Approved symbol	FOXJ2	forkhead box J2	HGNC:24818	12p13.31
FOXP1	Approved symbol	FOXP1	forkhead box P1	HGNC:3823	3p14.1
FOXO2	Synonyms	FOXO3	forkhead box O3	HGNC:3821	6q21
FOXJ3	Approved symbol	FOXJ3	forkhead box J3	HGNC:29178	1p34.2
LHX5	Approved symbol	LHX5	LIM homeobox 5	HGNC:14216	12q24.13
LHX6.1a	Unmatched				
LHX6.1b	Unmatched				
CLIM1	Previous symbol	PDLIM1	PDZ and LIM domain 1	HGNC:2067	10q23.1
CLIM1	Synonyms	LDB2	LIM domain binding 2	HGNC:6533	4p16
CLIM2	Synonyms	LDB1	LIM domain binding 1	HGNC:6532	10q24-q25
FOXN3	Approved symbol	FOXN3	forkhead box N3	HGNC:1928	14q32.11
FOXN2	Approved symbol	FOXN2	forkhead box N2	HGNC:5281	2p22-p16
FOXM1c	Unmatched				
FOXK2c	Unmatched				
FOXK2b	Unmatched				
